Dropped Tuition Fee,-1,tuition
Middle School Tuition Twice Weekly - Semester,412,tuition
High School Tuition Twice Weekly - Monthly,115,tuition
Middle School Tuition - Semester,270,tuition
Middle School Tuition - Monthly,72,tuition
High School Tuition - Monthly,76,tuition
High School Tuition - Semester,287,tuition
High School Tuition Twice Weekly - Semester,432,tuition
Middle School Tuition Twice Weekly - Monthly,107,tuition
Study Hall Tuition - Semester,135,tuition
Study Hall Tuition - Monthly,36,tuition
Registration Fee,110,registration
Registration Fee - one class,55,registration
Registration Fee - two classes,82,registration
Sibling Discount,-50,registration
Administrative Fee,110,registration
Scholarship Donation,1,donation
Program Donation,1,donation
Extracurricular - Semester,175,extracurricular